"fk","tabela_origem","coluna_origem","tabela_destino","coluna_destino"
"FK_NotaFiscalContas_Modo","NotaFiscalContas","Mdo_codigo","Modo","Mdo_codigo"
"FK_NotaFiscalContas_NotaFiscal","NotaFiscalContas","NTF_Codigo","NotaFiscal","NTF_Codigo"
"FK_NotaFiscalImportaDoc_NotaFiscal","NotaFiscalImportaDoc","NTF_Codigo","NotaFiscal","NTF_Codigo"
"FK_NotaFiscalProdutos_CFOP","NotaFiscalProdutos","CFOP_codigo","CFOP","CFOP_codigo"
"FK_NotaFiscalProdutosNotaFiscal","NotaFiscalProdutos","NTF_Codigo","NotaFiscal","NTF_Codigo"
"FK_obras_municipio","Obras","mun_codigo","Municipio","mun_codigo"
"FK_orcamento_CategoriaVenda","orcamento","CatVen_Codigo","CategoriaVenda","CatVen_Codigo"
"FK_orcamento_Obras","orcamento","Obr_Codigo","Obras","Obr_Codigo"
"FK_ordem_compra_Pag_Modo","ordem_compra_Pag","Mdo_codigo","Modo","Mdo_codigo"
"FK_OrdemCompraDetExt_OrdemCompraExt","OrdemCompraDetExt","Ocpex_codigo","OrdemCompraExt","Ocpex_codigo"
"FK_OrdemCompraDetExt_OrdemCompraExt","OrdemCompraDetExt","Ocpex_cnpj","OrdemCompraExt","Ocpex_cnpj"
"FK_OrdemServico_Venda","OrdemServico","Ven_CodigoPre","Venda","Ven_CodigoPre"
"FK_OrdemServicoAmbiente_Ambiente","OrdemServicoAmbiente","CodAmbiente","Ambiente","CodAmbiente"
"FK_OrdemServicoAmbiente_OrdemServico","OrdemServicoAmbiente","OrdServ_Codigo","OrdemServico","OrdServ_Codigo"
"FK_OrdemServicoItem_OrdemServicoSituacao","OrdemServicoItem","OrdServSit_codigo","OrdemServicoSituacao","OrdServSit_codigo"
"FK_OrdemServicoProduto_OrdemServicoItem","OrdemServicoProduto","OrdServItem_codigo","OrdemServicoItem","OrdServItem_codigo"
"FK_Paramentros_Moeda","Paramentros","Moeda_codigo","Moeda","Moeda_codigo"
"FK_Paramentros_SysPaises","Paramentros","SysPaises_codigo","SysPaises","SysPaises_codigo"
"FK_ParametrosRTCategoriaVenda_ParametrosRTCategoriaVenda","ParametrosRTCategoriaVenda","CatVen_Codigo","CategoriaVenda","CatVen_Codigo"
"FK_ParametrosRTIndicacao_Indicacoes","ParametrosRTIndicacao","Ind_codigo","Indicacoes","Ind_codigo"
"FK_pedido_CategoriaVenda","pedido","CatVen_Codigo","CategoriaVenda","CatVen_Codigo"
"FK_pedido_Obras","pedido","Obr_Codigo","Obras","Obr_Codigo"
"FK_Pos_venda_det_pos_venda","Pos_venda_det","Pve_codigo","pos_venda","Pve_codigo"
"FK_produtos_TipoOrigemProduto","produtos","TpOriPro_codigo","TipoOrigemProduto","TpOriPro_codigo"
"FK_produtos_TipoTributadaICMS","produtos","TpTrib_codigo","TipoTributadaICMS","TpTrib_codigo"
"FK_ProdutosFornecedores_fornecedor","ProdutosFornecedores","For_codigo","fornecedor","For_codigo"
"FK_ProdutosPromPrioritarioDet_ProdutosPromPrioritario","ProdutosPromPrioritarioDet","ProdProPrio_codigo","ProdutosPromPrioritario","ProdProPrio_codigo"
"FK_ProdutosRelacionadosCadProdutos_ProdutosRelacionados","ProdutosRelacionadosCadProdutos","ProdRel_codigo","ProdutosRelacionados","ProdRel_codigo"
"FK_ProdutosRelacionadosCadProdutosAcab_ProdutosRelacionados","ProdutosRelacionadosCadProdutosAcab","ProdRel_codigo","ProdutosRelacionados","ProdRel_codigo"
"FK_ProdutosServiços_produtos","ProdutosServiços","Pro_codnosso","produtos","Pro_codnosso"
"FK_ProdutosServiços_Servicos","ProdutosServiços","sev_cod","Servicos","sev_cod"
"FK_PromocaoEstoque_Promocao","PromocaoEstoque","Prom_Codigo","Promocao","Prom_Codigo"
"FK_PromocaoProdutos_Promocao","PromocaoProdutos","Prom_Codigo","Promocao","Prom_Codigo"
"FK_QuadroCargas_QuadroCargasProjeto","QuadroCargasProjeto","QCargas_Codigo","QuadroCargas","QCargas_Codigo"
"FK_RateioDet_CategoriaRemuneracao","RateioDet","CatRem_Codigo","CategoriaRemuneracao","CatRem_Codigo"
